owner.login,name,nameWithOwner,description,url,primaryLanguage.name,forkCount,createdAt,refs.edges
public-apis,public-apis,public-apis/public-apis,A collective list of free APIs,https://github.com/public-apis/public-apis,Python,32860,2016-03-20T23:49:42Z,"[{""node"":{""name"":""dependabot/pip/scripts/certifi-2022.12.7""}},{""node"":{""name"":""master""}}]"
donnemartin,system-design-primer,donnemartin/system-design-primer,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.,https://github.com/donnemartin/system-design-primer,Python,44947,2017-02-26T16:15:28Z,"[{""node"":{""name"":""develop""}},{""node"":{""name"":""master""}}]"
vinta,awesome-python,vinta/awesome-python,"An opinionated list of awesome Python frameworks, libraries, software and resources.",https://github.com/vinta/awesome-python,Python,24673,2014-06-27T21:00:06Z,"[{""node"":{""name"":""gh-pages""}},{""node"":{""name"":""master""}}]"
TheAlgorithms,Python,TheAlgorithms/Python,All Algorithms implemented in Python,https://github.com/TheAlgorithms/Python,Python,44064,2016-07-16T09:44:01Z,"[{""node"":{""name"":""Fewer-forward-propogations-to-speed-tests""}},{""node"":{""name"":""Python-3.12-on-Debian-bookworm""}},{""node"":{""name"":""Test-on-Python-3.13-beta""}},{""node"":{""name"":""cclauss-patch-1""}},{""node"":{""name"":""cclauss-patch-2""}},{""node"":{""name"":""fix-maclaurin_series-on-Python3.12""}},{""node"":{""name"":""master""}},{""node"":{""name"":""quantum_random.py.disabled""}}]"
Significant-Gravitas,AutoGPT,Significant-Gravitas/AutoGPT,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.",https://github.com/Significant-Gravitas/AutoGPT,Python,43781,2023-03-16T09:21:07Z,"[{""node"":{""name"":""aarushikansal/finetuning-blocks""}},{""node"":{""name"":""aarushikansal/helm-charts""}},{""node"":{""name"":""aarushikansal/open-1370-serve-frontend-on-server""}},{""node"":{""name"":""aarushikansal/open-1375-create-app-project-structure""}},{""node"":{""name"":""aarushikansal/open-1454-break-down-all-the-large-component-files-into-single""}},{""node"":{""name"":""aarushikansal/open-1492-create-dockerfiles-for-both-front-end-and-backend""}},{""node"":{""name"":""aarushikansal/open-1574-deploy-backend-to-k8s""}},{""node"":{""name"":""aarushikansal-add-vector-store-support""}},{""node"":{""name"":""add-codex-ability""}},{""node"":{""name"":""benchmark/concurrency""}}]"
jackfrued,Python-100-Days,jackfrued/Python-100-Days,Python - 100天从新手到大师,https://github.com/jackfrued/Python-100-Days,Python,51779,2018-03-01T16:05:52Z,"[{""node"":{""name"":""dependabot/pip/50WPython/code/Python/opencourse/certifi-2022.12.7""}},{""node"":{""name"":""dependabot/pip/50WPython/code/Python/opencourse/ipython-8.10.0""}},{""node"":{""name"":""dependabot/pip/50WPython/code/Python/opencourse/lxml-4.9.1""}},{""node"":{""name"":""dependabot/pip/50WPython/code/Python/opencourse/numpy-1.22.0""}},{""node"":{""name"":""dependabot/pip/50WPython/code/Python/opencourse/pygments-2.7.4""}},{""node"":{""name"":""dependabot/pip/50WPython/code/Python/opencourse/urllib3-1.26.5""}},{""node"":{""name"":""master""}}]"
AUTOMATIC1111,stable-diffusion-webui,AUTOMATIC1111/stable-diffusion-webui,Stable Diffusion web UI,https://github.com/AUTOMATIC1111/stable-diffusion-webui,Python,26042,2022-08-22T14:05:26Z,"[{""node"":{""name"":""ToggleLivePriview-in-image-viewer""}},{""node"":{""name"":""bump-Pillow-blendmodes-dependency""}},{""node"":{""name"":""chmod-webui.sh""}},{""node"":{""name"":""compact-Soft-Inpainting-infotext""}},{""node"":{""name"":""consistency-dec""}},{""node"":{""name"":""dev""}},{""node"":{""name"":""fix-default-in-get_learned_conditioning""}},{""node"":{""name"":""fix-image-upscale-on-cpu""}},{""node"":{""name"":""gradio4""}},{""node"":{""name"":""gradio-4.x-test""}}]"
ytdl-org,youtube-dl,ytdl-org/youtube-dl,Command-line program to download videos from YouTube.com and other video sites,https://github.com/ytdl-org/youtube-dl,Python,9827,2010-10-31T14:35:07Z,"[{""node"":{""name"":""df-fmt-ext-patch""}},{""node"":{""name"":""df-test-cleanup""}},{""node"":{""name"":""dlp-fifa-backport""}},{""node"":{""name"":""download-server""}},{""node"":{""name"":""gh-pages""}},{""node"":{""name"":""master""}},{""node"":{""name"":""pull/29816/head""}},{""node"":{""name"":""rtmp_test""}},{""node"":{""name"":""totalwebcasting""}}]"
huggingface,transformers,huggingface/transformers,"🤗 Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",https://github.com/huggingface/transformers,Python,25790,2018-10-29T13:56:00Z,"[{""node"":{""name"":""29625_add_prefix_space""}},{""node"":{""name"":""29625_prefix_space""}},{""node"":{""name"":""30824-spmconverter-user-defined-symbol""}},{""node"":{""name"":""31187_depreciate_clean_up_tokenization_spaced""}},{""node"":{""name"":""BritneyMuller-housekeeping-patch""}},{""node"":{""name"":""add_amd_daily_ci""}},{""node"":{""name"":""add_codestral_mamba2""}},{""node"":{""name"":""add_deformable_detr""}},{""node"":{""name"":""add_fa2_bart""}},{""node"":{""name"":""add_important_warning_padding_attention_mask""}}]"
521xueweihan,HelloGitHub,521xueweihan/HelloGitHub,":octocat: 分享 GitHub 上有趣、入门级的开源项目。Share interesting, entry-level open source projects on GitHub.",https://github.com/521xueweihan/HelloGitHub,Python,9506,2016-05-04T06:24:11Z,"[{""node"":{""name"":""master""}}]"
